(0, 0) (1, 59) (2, 322) 
(0, 0) (1, 59) (2, 328) 
(0, 0) (1, 59) (2, 338) 
(0, 0) (1, 59) (2, 378) 
(0, 0) (1, 59) (2, 387) 
(0, 0) (1, 59) (2, 395) 
(0, 0) (1, 59) (2, 400) 
(0, 0) (1, 59) (2, 437) 
(0, 0) (1, 59) (2, 475) 
(0, 0) (1, 59) (2, 479) 
(0, 0) (1, 59) (2, 496) 
(0, 0) (1, 59) (2, 501) 
(0, 0) (1, 59) (2, 508) 
(0, 0) (1, 59) (2, 517) 
(0, 0) (1, 59) (2, 539) 
(0, 0) (1, 59) (2, 542) 
(0, 0) (1, 59) (2, 577) 
(0, 0) (1, 59) (2, 598) 
(0, 0) (1, 59) (2, 624) 
(0, 0) (1, 59) (2, 626) 
(0, 0) (1, 59) (2, 647) 
(0, 0) (1, 59) (2, 653) 
(0, 0) (1, 59) (2, 689) 
(0, 0) (1, 59) (2, 772) 
(0, 0) (1, 59) (2, 805) 
(0, 0) (1, 59) (2, 812) 
(0, 0) (1, 59) (2, 818) 
(0, 0) (1, 59) (2, 847) 
(0, 0) (1, 59) (2, 881) 
(0, 0) (1, 59) (2, 919) 
(0, 0) (1, 59) (2, 955) 
(0, 0) (1, 59) (2, 959) 
(0, 0) (1, 59) (2, 965) 
(0, 0) (1, 59) (2, 987) 
(0, 0) (1, 59) (2, 988) 
(0, 0) (1, 60) (2, 6) 
(0, 0) (1, 60) (2, 19) 
(0, 0) (1, 60) (2, 78) 
(0, 0) (1, 60) (2, 95) 
(0, 0) (1, 60) (2, 101) 
(0, 0) (1, 60) (2, 130) 
(0, 0) (1, 60) (2, 132) 
(0, 0) (1, 60) (2, 162) 
(0, 0) (1, 60) (2, 165) 
(0, 0) (1, 60) (2, 190) 
(0, 0) (1, 60) (2, 221) 
(0, 0) (1, 60) (2, 228) 
(0, 0) (1, 60) (2, 248) 
(0, 0) (1, 60) (2, 257) 
(0, 0) (1, 60) (2, 281) 
(0, 0) (1, 60) (2, 354) 
(0, 0) (1, 60) (2, 356) 
(0, 0) (1, 60) (2, 378) 
(0, 0) (1, 60) (2, 407) 
(0, 0) (1, 60) (2, 413) 
(0, 0) (1, 60) (2, 430) 
(0, 0) (1, 60) (2, 437) 
(0, 0) (1, 60) (2, 443) 
(0, 0) (1, 60) (2, 454) 
(0, 0) (1, 60) (2, 462) 
(0, 0) (1, 60) (2, 475) 
(0, 0) (1, 60) (2, 495) 
(0, 0) (1, 60) (2, 508) 
(0, 0) (1, 60) (2, 537) 
(0, 0) (1, 60) (2, 542) 
(0, 0) (1, 60) (2, 577) 
(0, 0) (1, 60) (2, 583) 
(0, 0) (1, 60) (2, 585) 
(0, 0) (1, 60) (2, 587) 
(0, 0) (1, 60) (2, 606) 
(0, 0) (1, 60) (2, 612) 
(0, 0) (1, 60) (2, 642) 
(0, 0) (1, 60) (2, 650) 
(0, 0) (1, 60) (2, 667) 
(0, 0) (1, 60) (2, 670) 
(0, 0) (1, 60) (2, 679) 
(0, 0) (1, 60) (2, 846) 
(0, 0) (1, 60) (2, 853) 
(0, 0) (1, 60) (2, 866) 
(0, 0) (1, 60) (2, 919) 
(0, 0) (1, 60) (2, 929) 
(0, 0) (1, 60) (2, 959) 
(0, 0) (1, 60) (2, 988) 
(0, 0) (1, 60) (2, 998) 
(0, 0) (1, 62) (2, 6) 
(0, 0) (1, 62) (2, 78) 
(0, 0) (1, 62) (2, 97) 
(0, 0) (1, 62) (2, 126) 
(0, 0) (1, 62) (2, 185) 
(0, 0) (1, 62) (2, 228) 
(0, 0) (1, 62) (2, 253) 
(0, 0) (1, 62) (2, 269) 
(0, 0) (1, 62) (2, 272) 
(0, 0) (1, 62) (2, 276) 
(0, 0) (1, 62) (2, 288) 
(0, 0) (1, 62) (2, 328) 
(0, 0) (1, 62) (2, 354) 
(0, 0) (1, 62) (2, 387) 
(0, 0) (1, 62) (2, 389) 
(0, 0) (1, 62) (2, 390) 
(0, 0) (1, 62) (2, 420) 
(0, 0) (1, 62) (2, 473) 
